=== Job started on Wed 29 Apr 23:29:16 WEST 2026 ===
Running on node(s): cnx027
Python executable: /projects/F202508983CPCAA0/jcorreia/work/react_selection_x86/bin/python
Python 3.12.3
sys.path ok, site: 
Embedder: smarts_transformer
FP output : data/processed/template_fingerprints_smarts_256.npy
Meta output: data/processed/template_metadata.parquet
23:29:50  INFO     === Template fingerprint pre-computation ===
23:29:50  INFO     Templates : /projects/F202508983CPCAA0/jcorreia/work/reaction_selection_pipeline/data/processed/retrorules-merged.csv
23:29:50  INFO     embedder=smarts_transformer
23:29:53  INFO     Loaded 361751 templates from /projects/F202508983CPCAA0/jcorreia/work/reaction_selection_pipeline/data/processed/retrorules-merged.csv
23:29:53  INFO     Loading SMARTS transformer from /projects/F202508983CPCAA0/jcorreia/work/reaction_selection_pipeline/models/smarts_embedder
23:30:49  INFO     SMARTS transformer loaded  dim=256
23:32:56  INFO     Embedded 1000 / 361751  (0.3%)  ETA 45760s
23:34:05  INFO     Embedded 2000 / 361751  (0.6%)  ETA 35352s
23:35:37  INFO     Embedded 3000 / 361751  (0.8%)  ETA 34411s
23:36:15  INFO     Embedded 4000 / 361751  (1.1%)  ETA 29194s
23:37:31  INFO     Embedded 5000 / 361751  (1.4%)  ETA 28665s
23:38:56  INFO     Embedded 6000 / 361751  (1.7%)  ETA 28879s
23:40:27  INFO     Embedded 7000 / 361751  (1.9%)  ETA 29305s
23:41:30  INFO     Embedded 8000 / 361751  (2.2%)  ETA 28351s
23:42:13  INFO     Embedded 9000 / 361751  (2.5%)  ETA 26804s
23:43:38  INFO     Embedded 10000 / 361751  (2.8%)  ETA 27046s
23:44:49  INFO     Embedded 11000 / 361751  (3.0%)  ETA 26798s
23:45:58  INFO     Embedded 12000 / 361751  (3.3%)  ETA 26508s
23:46:56  INFO     Embedded 13000 / 361751  (3.6%)  ETA 25947s
23:49:06  INFO     Embedded 14000 / 361751  (3.9%)  ETA 27254s
23:50:04  INFO     Embedded 15000 / 361751  (4.1%)  ETA 26703s
23:51:32  INFO     Embedded 16000 / 361751  (4.4%)  ETA 26865s
23:52:35  INFO     Embedded 17000 / 361751  (4.7%)  ETA 26482s
23:53:54  INFO     Embedded 18000 / 361751  (5.0%)  ETA 26446s
23:54:49  INFO     Embedded 19000 / 361751  (5.3%)  ETA 25984s
23:55:33  INFO     Embedded 20000 / 361751  (5.5%)  ETA 25353s
23:56:06  INFO     Embedded 21000 / 361751  (5.8%)  ETA 24611s
23:57:40  INFO     Embedded 22000 / 361751  (6.1%)  ETA 24876s
23:59:26  INFO     Embedded 23000 / 361751  (6.4%)  ETA 25285s
00:00:51  INFO     Embedded 24000 / 361751  (6.6%)  ETA 25359s
00:02:08  INFO     Embedded 25000 / 361751  (6.9%)  ETA 25311s
00:03:40  INFO     Embedded 26000 / 361751  (7.2%)  ETA 25454s
00:05:40  INFO     Embedded 27000 / 361751  (7.5%)  ETA 25921s
00:07:52  INFO     Embedded 28000 / 361751  (7.7%)  ETA 26494s
00:08:29  INFO     Embedded 29000 / 361751  (8.0%)  ETA 25936s
00:09:06  INFO     Embedded 30000 / 361751  (8.3%)  ETA 25398s
00:10:25  INFO     Embedded 31000 / 361751  (8.6%)  ETA 25354s
00:13:11  INFO     Embedded 32000 / 361751  (8.8%)  ETA 26198s
00:15:05  INFO     Embedded 33000 / 361751  (9.1%)  ETA 26457s
00:16:12  INFO     Embedded 34000 / 361751  (9.4%)  ETA 26249s
